"page_id","phrase_id","source_lane","pageKind","relationship_id","source_kind","source_id","target_kind","target_id","relation_type","display_label","reason","sort_order","generated_relation_source_path","source_path","proposed_target_page_id","proposed_relation_type","proposed_display_label","proposed_reason","review_status","import_approval","approved_by","approved_at"
"viet-phrase-acknowledge-khong","acknowledge-khong","catalog-promoted","phrase","relation:acdd7119b216bbfa","phrase_page","viet-phrase-acknowledge-khong","phrase_page","viet-phrase-polite-4","see_also","Softer no","Authored Softer no row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-khong.json","","","","","not_started","","",""
"viet-phrase-acknowledge-khong","acknowledge-khong","catalog-promoted","phrase","relation:dc65df4a6daa5892","phrase_page","viet-phrase-acknowledge-khong","phrase_page","viet-phrase-v500-mone-numb-pric-no-thanks-maybe-later","next_step_after","Explore next","Authored Explore next row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-khong.json","","","","","not_started","","",""
"viet-phrase-acknowledge-khong","acknowledge-khong","catalog-promoted","phrase","relation:750295e8c7acf82c","phrase_page","viet-phrase-acknowledge-khong","phrase_page","viet-phrase-polite-2","next_step_after","Explore next","Authored Explore next row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-khong.json","","","","","not_started","","",""
"viet-phrase-acknowledge-khong","acknowledge-khong","catalog-promoted","phrase","relation:f6317a962695bf2d","phrase_page","viet-phrase-acknowledge-khong","phrase_page","viet-phrase-polite-6","see_also","Softer no","Authored Softer no row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-khong.json","","","","","not_started","","",""
"viet-phrase-acknowledge-khong","acknowledge-khong","catalog-promoted","phrase","relation:001dddd643e0db9d","phrase_page","viet-phrase-acknowledge-khong","phrase_page","viet-phrase-acknowledge-co","see_also","Softer no","Authored Softer no row links these phrase pages.","2","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-khong.json","","","","","not_started","","",""
"viet-phrase-airport-1","airport-1","tier1","phrase","relation:170adbb20e6d754f","phrase_page","viet-phrase-airport-1","phrase_page","viet-phrase-v500-airp-bord-arri-here-is-my-passport","see_also","Local tip","Authored Local tip row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-immigration.json","","","","","not_started","","",""
"viet-phrase-airport-1","airport-1","tier1","phrase","relation:3837b4a15049fad0","phrase_page","viet-phrase-airport-1","phrase_page","viet-phrase-airport-2","see_also","Traveler insight","Authored Traveler insight row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-immigration.json","","","","","not_started","","",""
"viet-phrase-airport-1","airport-1","tier1","phrase","relation:4cc86ecf10efcff8","phrase_page","viet-phrase-airport-1","phrase_page","viet-phrase-airport-6","see_also","When to use it","Authored When to use it row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-immigration.json","","","","","not_started","","",""
"viet-phrase-airport-1","airport-1","tier1","phrase","relation:508d1774f20e0d52","phrase_page","viet-phrase-airport-1","phrase_page","viet-phrase-v500-airp-bord-arri-here-is-my-visa","see_also","When to use it","Authored When to use it row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-immigration.json","","","","","not_started","","",""
"viet-phrase-airport-1","airport-1","tier1","phrase","relation:b058497a2b3e6d77","phrase_page","viet-phrase-airport-1","phrase_page","viet-phrase-airport-3","see_also","Traveler insight","Authored Traveler insight row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-immigration.json","","","","","not_started","","",""
